rep,seqtype,line,period,spec
rep1,rna,Ara+4,3.2000000000000006,374641.18252694415
rep1,rna,Ara+4,3.130434782608696,84744.12949388362
rep1,rna,Ara+4,3.063829787234043,107700.16942991917
rep1,rna,Ara+4,3,3810323.9180212463
rep1,rna,Ara+4,2.938775510204082,29116.353451641487
rep1,rna,Ara+4,2.880000000000001,54644.616188304804
rep1,rna,Ara+4,2.823529411764706,73663.71166151708
rep1,rna,Ara+4,2.7692307692307696,54637.964616985104
rep1,rna,Ara+4,2.716981132075472,75758.57674562953
rep1,rna,Ara+4,2.666666666666667,97013.15938426646
rep1,rna,Ara+4,2.618181818181818,41074.08889957007
rep1,rna,Ara+4,2.5714285714285716,13362.196382189677
rep1,rna,Ara+4,2.5263157894736845,45841.36715742149
rep1,rna,Ara+4,2.4827586206896552,24243.42348053805
rep1,rna,Ara+4,2.4406779661016955,70724.21043826906
rep1,rna,Ara+4,2.4000000000000004,1227.6840805404158
rep1,rna,Ara+4,2.3606557377049184,104323.72121789597
rep1,rna,Ara+4,2.3225806451612905,77712.9296738281
rep1,rna,Ara+4,2.285714285714286,4700.080283684393
rep1,rna,Ara+4,2.25,30340.36730204021
rep1,rna,Ara+4,2.2153846153846155,152373.02782412485
rep1,rna,Ara+4,2.181818181818182,29000.7722547338
rep1,rna,Ara+4,2.1492537313432836,16113.983154899486
rep1,rna,Ara+4,2.11764705882353,76943.90146737543
rep1,rna,Ara+4,2.0869565217391304,16399.30291432452
rep1,rna,Ara+4,2.0571428571428574,3752.3850681040994
rep1,rna,Ara+4,2.028169014084507,67163.54814945367
rep1,rna,Ara+4,2.0000000000000004,78599.40119179049
rep1,rna,Ara+5,4,76138.09419625929
rep1,rna,Ara+5,3.891891891891892,6108.793871888449
rep1,rna,Ara+5,3.789473684210527,6819.717793430021
rep1,rna,Ara+5,3.6923076923076925,51689.32779439135
rep1,rna,Ara+5,3.6000000000000005,46317.043241784166
rep1,rna,Ara+5,3.5121951219512195,34184.29043372413
rep1,rna,Ara+5,3.428571428571429,133178.26462600366
rep1,rna,Ara+5,3.348837209302326,30268.475265186535
rep1,rna,Ara+5,3.272727272727273,14988.844554874153
rep1,rna,Ara+5,3.2000000000000006,79306.99699527069
rep1,rna,Ara+5,3.130434782608696,31301.10994263711
rep1,rna,Ara+5,3.063829787234043,43671.47039352379
rep1,rna,Ara+5,3,1404249.176931409
rep1,rna,Ara+5,2.938775510204082,39651.98137097286
rep1,rna,Ara+5,2.880000000000001,49481.518788938076
rep1,rna,Ara+5,2.823529411764706,27316.17679409095
rep1,rna,Ara+5,2.7692307692307696,9629.508409594788
rep1,rna,Ara+5,2.716981132075472,10410.647757248127
rep1,rna,Ara+5,2.666666666666667,13940.177633109675
rep1,rna,Ara+5,2.618181818181818,28390.121332113424
rep1,rna,Ara+5,2.5714285714285716,20037.444251968114
rep1,rna,Ara+5,2.5263157894736845,30493.042890294088
rep1,rna,Ara+5,2.4827586206896552,3135.026225682132
rep1,rna,Ara+5,2.4406779661016955,43214.125433509515
rep1,rna,Ara+5,2.4000000000000004,23765.301007694663
rep1,rna,Ara+5,2.3606557377049184,37366.49861190511
rep1,rna,Ara+5,2.3225806451612905,3552.2783005609817
rep1,rna,Ara+5,2.285714285714286,5426.068002832508
rep1,rna,Ara+5,2.25,46069.88839353696
rep1,rna,Ara+5,2.2153846153846155,90547.38945481561
rep1,rna,Ara+5,2.181818181818182,21842.019430092252
rep1,rna,Ara+5,2.1492537313432836,2285.0179407120618
rep1,rna,Ara+5,2.11764705882353,2453.4968918707827
rep1,rna,Ara+5,2.0869565217391304,69911.86002092726
rep1,rna,Ara+5,2.0571428571428574,4369.081109390529
rep1,rna,Ara+5,2.028169014084507,909.2161898288211
rep1,rna,Ara+5,2.0000000000000004,537.0131138625632
rep1,rna,Ara+6,4,68780.78007721702
rep1,rna,Ara+6,3.891891891891892,42310.673280419396
rep1,rna,Ara+6,3.789473684210527,46674.1696953174
rep1,rna,Ara+6,3.6923076923076925,27546.421831682623
rep1,rna,Ara+6,3.6000000000000005,23647.597203774352
rep1,rna,Ara+6,3.5121951219512195,51953.37073436316
rep1,rna,Ara+6,3.428571428571429,166300.38882350578
rep1,rna,Ara+6,3.348837209302326,2137.1175673665048
rep1,rna,Ara+6,3.272727272727273,18246.118890958645
rep1,rna,Ara+6,3.2000000000000006,66685.95709977506
rep1,rna,Ara+6,3.130434782608696,7436.633663289505
rep1,rna,Ara+6,3.063829787234043,110992.38875972606
rep1,rna,Ara+6,3,2008346.4328428272
rep1,rna,Ara+6,2.938775510204082,27305.517543842656
rep1,rna,Ara+6,2.880000000000001,105913.4346361177
