line,target_id,n
AraM1,ECB_00637,1
AraM1,ECB_00638,1
AraM1,ECB_00639,1
AraM1,ECB_00640,1
AraM1,ECB_00641,1
AraM1,ECB_00642,1
AraM1,ECB_00643,1
AraM1,ECB_00644,1
AraM1,ECB_00645,1
AraM1,ECB_00646,1
AraM1,ECB_00647,1
AraM1,ECB_00648,1
AraM1,ECB_00649,1
AraM1,ECB_00650,1
AraM1,ECB_00651,1
AraM1,ECB_00652,1
AraM1,ECB_00653,1
AraM1,ECB_00654,1
AraM1,ECB_00655,1
AraM1,ECB_00656,1
AraM1,ECB_00657,1
AraM1,ECB_00658,1
AraM1,ECB_00659,1
AraM1,ECB_00660,1
AraM1,ECB_00661,1
AraM1,ECB_00662,1
AraM1,ECB_00663,1
AraM1,ECB_00664,1
AraM1,ECB_00666,1
AraM1,ECB_00667,1
AraM1,ECB_00668,1
AraM1,ECB_00669,1
AraM1,ECB_00670,1
AraM1,ECB_00671,1
AraM1,ECB_00672,1
AraM1,ECB_00673,1
AraM1,ECB_00674,1
AraM1,ECB_00675,1
AraM1,ECB_00676,1
AraM1,ECB_00677,1
AraM1,ECB_00678,1
AraM1,ECB_00679,1
AraM1,ECB_00680,1
AraM1,ECB_00681,1
AraM1,ECB_00682,1
AraM1,ECB_00683,1
AraM1,ECB_00684,1
AraM1,ECB_00685,1
AraM1,ECB_00686,1
AraM1,ECB_00687,1
AraM1,ECB_00688,1
AraM1,ECB_00689,1
AraM1,ECB_00690,1
AraM1,ECB_00691,1
AraM1,ECB_00692,1
AraM1,ECB_00693,1
AraM1,ECB_00694,1
AraM1,ECB_00695,1
AraM1,ECB_00696,1
AraM1,ECB_00697,1
AraM1,ECB_00698,1
AraM1,ECB_00699,1
AraM1,ECB_00700,1
AraM1,ECB_00701,1
AraM1,ECB_00702,1
AraM1,ECB_00703,1
AraM1,ECB_00704,1
AraM1,ECB_00705,1
AraM1,ECB_00706,1
AraM1,ECB_00707,1
AraM1,ECB_00708,1
AraM1,ECB_00709,1
AraM1,ECB_00710,1
AraM1,ECB_00711,1
AraM1,ECB_00712,1
AraM1,ECB_00713,1
AraM1,ECB_00714,1
AraM1,ECB_00715,1
AraM1,ECB_00716,1
AraM1,ECB_00717,1
AraM1,ECB_00718,1
AraM1,ECB_00719,1
AraM1,ECB_00720,1
AraM1,ECB_00721,1
AraM1,ECB_00722,1
AraM1,ECB_00723,1
AraM1,ECB_00724,1
AraM1,ECB_00725,1
AraM1,ECB_00726,1
AraM1,ECB_00727,1
AraM1,ECB_00728,1
AraM1,ECB_00729,1
AraM1,ECB_00730,1
AraM1,ECB_00731,1
AraM1,ECB_00732,1
AraM1,ECB_00733,1
AraM1,ECB_00734,1
AraM1,ECB_00735,1
AraM1,ECB_00736,1
AraM1,ECB_00737,1
AraM1,ECB_00738,1
AraM1,ECB_00739,1
AraM1,ECB_00740,1
AraM1,ECB_00741,1
AraM1,ECB_00742,1
AraM1,ECB_00743,1
AraM1,ECB_00744,1
AraM1,ECB_00745,1
AraM1,ECB_00746,1
AraM1,ECB_00747,1
AraM1,ECB_00748,1
AraM1,ECB_00749,1
AraM1,ECB_00750,1
AraM1,ECB_00751,1
AraM1,ECB_00752,1
AraM1,ECB_00753,1
AraM1,ECB_00754,1
AraM1,ECB_00755,1
AraM1,ECB_00756,1
AraM1,ECB_00757,1
AraM1,ECB_00758,1
AraM1,ECB_00759,1
AraM1,ECB_00760,1
AraM1,ECB_00761,1
AraM1,ECB_00762,1
AraM1,ECB_00763,1
AraM1,ECB_00764,1
AraM1,ECB_00765,1
AraM1,ECB_00766,1
AraM1,ECB_00767,1
AraM1,ECB_00768,1
AraM1,ECB_00769,1
AraM1,ECB_00770,1
AraM1,ECB_00771,1
AraM1,ECB_00772,1
AraM1,ECB_00773,1
AraM1,ECB_00774,1
AraM1,ECB_00775,1
AraM1,ECB_00776,1
AraM1,ECB_00777,1
AraM1,ECB_00778,1
AraM1,ECB_00779,1
AraM1,ECB_00780,1
AraM1,ECB_00781,1
AraM1,ECB_00782,1
AraM1,ECB_00783,1
AraM1,ECB_00784,1
AraM1,ECB_00785,1
AraM1,ECB_00786,1
AraM1,ECB_00787,1
AraM1,ECB_00788,1
AraM1,ECB_00789,1
AraM1,ECB_00790,1
AraM1,ECB_00791,1
AraM1,ECB_00792,1
AraM1,ECB_00793,1
AraM1,ECB_00794,1
AraM1,ECB_00795,1
AraM1,ECB_00796,1
AraM1,ECB_00797,1
AraM1,ECB_00798,1
AraM1,ECB_00799,1
AraM1,ECB_00800,1
AraM1,ECB_00801,1
AraM1,ECB_00802,1
AraM1,ECB_00803,1
AraM1,ECB_00804,1
AraM1,ECB_00805,1
AraM1,ECB_00806,1
AraM1,ECB_00807,1
AraM1,ECB_00808,1
AraM1,ECB_00809,1
AraM1,ECB_00810,1
AraM1,ECB_00811,1
AraM1,ECB_00812,1
AraM1,ECB_00813,1
AraM1,ECB_00814,1
AraM1,ECB_00815,1
AraM1,ECB_00816,1
AraM1,ECB_00817,1
AraM1,ECB_00818,1
AraM1,ECB_00819,1
AraM1,ECB_00820,1
AraM1,ECB_00821,1
AraM1,ECB_00822,1
AraM1,ECB_00823,1
AraM1,ECB_00824,1
AraM1,ECB_00825,1
AraM1,ECB_00826,1
AraM1,ECB_00827,1
AraM1,ECB_00828,1
AraM1,ECB_00829,1
AraM1,ECB_00830,1
AraM1,ECB_00831,1
AraM1,ECB_00832,1
AraM1,ECB_00833,1
AraM1,ECB_00834,1
AraM1,ECB_00835,1
AraM1,ECB_00836,1
AraM1,ECB_00837,1
AraM1,ECB_00838,1
AraM1,ECB_00839,1
AraM1,ECB_00840,1
AraM1,ECB_00841,1
AraM1,ECB_00842,1
AraM1,ECB_00843,1
AraM1,ECB_00844,1
AraM1,ECB_00845,1
AraM1,ECB_00846,1
AraM1,ECB_00847,1
AraM1,ECB_00848,1
AraM1,ECB_00849,1
AraM1,ECB_00850,1
AraM1,ECB_00851,1
AraM1,ECB_00852,1
AraM1,ECB_00853,1
AraM1,ECB_00854,1
AraM1,ECB_00855,1
AraM1,ECB_00856,1
AraM1,ECB_00857,1
AraM1,ECB_00858,1
AraM1,ECB_00859,1
AraM1,ECB_00860,1
AraM1,ECB_00861,1
AraM1,ECB_00862,1
AraM1,ECB_00863,1
AraM1,ECB_00864,1
AraM1,ECB_00865,1
AraM1,ECB_00866,1
AraM1,ECB_00867,1
AraM1,ECB_00868,1
AraM1,ECB_00869,1
AraM1,ECB_00870,1
AraM1,ECB_00871,1
AraM1,ECB_00872,1
AraM1,ECB_00873,1
AraM1,ECB_00874,1
AraM1,ECB_00875,1
AraM1,ECB_00876,1
AraM1,ECB_00877,1
AraM1,ECB_00878,1
AraM1,ECB_00879,1
AraM1,ECB_00880,1
AraM1,ECB_00881,1
AraM1,ECB_00882,1
AraM1,ECB_00883,1
AraM1,ECB_00884,1
AraM1,ECB_00885,1
AraM1,ECB_00886,1
AraM1,ECB_00887,1
AraM1,ECB_00888,1
AraM1,ECB_00889,1
AraM1,ECB_00890,1
AraM1,ECB_00891,1
AraM1,ECB_00892,1
AraM1,ECB_00893,1
AraM1,ECB_00894,1
AraM1,ECB_00895,1
AraM1,ECB_00896,1
AraM1,ECB_00897,1
AraM1,ECB_00898,1
AraM1,ECB_00899,1
AraM1,ECB_00900,1
AraM1,ECB_00901,1
AraM1,ECB_00902,1
AraM1,ECB_00903,1
AraM1,ECB_00904,1
AraM1,ECB_00905,1
AraM1,ECB_00906,1
AraM1,ECB_00907,1
AraM1,ECB_00908,1
AraM1,ECB_00909,1
AraM1,ECB_00910,1
AraM1,ECB_00911,1
AraM1,ECB_00912,1
AraM1,ECB_00913,1
AraM1,ECB_00914,1
AraM1,ECB_00915,1
AraM1,ECB_00916,1
AraM1,ECB_00917,1
AraM1,ECB_00918,1
AraM1,ECB_00919,1
AraM1,ECB_00920,1
AraM1,ECB_00921,1
AraM1,ECB_00922,1
AraM1,ECB_00923,1
AraM1,ECB_00924,1
AraM1,ECB_00925,1
AraM1,ECB_00926,1
AraM1,ECB_00927,1
AraM1,ECB_00928,1
AraM1,ECB_00929,1
AraM1,ECB_00930,1
AraM1,ECB_00931,1
AraM1,ECB_00932,1
AraM1,ECB_00933,1
AraM1,ECB_00934,1
AraM1,ECB_00935,1
AraM1,ECB_00936,1
AraM1,ECB_00937,1
AraM1,ECB_00938,1
AraM1,ECB_00939,1
AraM1,ECB_00940,1
AraM1,ECB_00941,1
AraM1,ECB_00942,1
AraM1,ECB_00943,1
AraM1,ECB_00944,1
AraM1,ECB_00945,1
AraM1,ECB_00946,1
AraM1,ECB_00947,1
AraM1,ECB_00948,1
AraM1,ECB_00949,1
AraM1,ECB_00950,1
AraM1,ECB_00951,1
AraM1,ECB_00952,1
AraM1,ECB_00953,1
AraM1,ECB_00954,1
AraM1,ECB_00955,1
AraM1,ECB_00956,1
AraM1,ECB_00957,1
AraM1,ECB_00958,1
AraM1,ECB_00959,1
AraM1,ECB_00960,1
AraM1,ECB_00961,1
AraM1,ECB_00962,1
AraM1,ECB_00963,1
AraM1,ECB_00964,1
AraM1,ECB_00965,1
AraM1,ECB_00966,1
AraM1,ECB_00967,1
AraM1,ECB_00968,1
AraM1,ECB_00969,1
AraM1,ECB_00970,1
AraM1,ECB_00971,1
AraM1,ECB_00972,1
AraM1,ECB_00973,1
AraM1,ECB_00974,1
AraM1,ECB_00975,1
AraM1,ECB_00976,1
AraM1,ECB_00977,1
AraM1,ECB_00978,1
AraM1,ECB_00979,1
AraM1,ECB_00980,1
AraM1,ECB_00981,1
AraM1,ECB_00982,1
AraM1,ECB_00983,1
AraM1,ECB_00984,1
AraM1,ECB_00985,1
AraM1,ECB_00986,1
AraM1,ECB_00987,1
AraM1,ECB_00988,1
AraM1,ECB_00989,1
AraM1,ECB_00990,1
AraM1,ECB_00991,1
AraM1,ECB_00992,1
AraM1,ECB_00993,1
AraM1,ECB_00994,1
AraM1,ECB_00995,1
AraM1,ECB_00996,1
AraM1,ECB_00997,1
